ocel:eid,ocel:activity,ocel:timestamp,p_duration[s],s_co2e[kg],i_electric-from-grid-de[kWh],i_steel-waste-to-recycle[kg],i_gas_input[Wh],i_emission-of-burn[Wh],i_coating-material[kg],i_coating-material-waste[kg],i_compressed-air[m3],i_gas-n2-used[m3],i_gas-n2-emiited-to-air[m3],i_steel-waste[kg],i_cardboard-box[kg]
e_heat_53,HeatSteelSheet,2023-04-03 07:45:30+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_62,SplitSteelSheet,2023-04-03 07:45:33+00:00,6.48145964418,0.0067820466,0.0099022,0.00042,,,,,,,,,
e_split_63,SplitSteelSheet,2023-04-03 07:45:40+00:00,6.67578419418,0.0069851262,0.0101991,0.00042,,,,,,,,,
e_heat_54,HeatSteelShet,2023-04-03 07:45:41+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_heat_55,HeatSteelSheet,2023-04-03 07:45:45+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_64,SplitSteelSheet,2023-04-03 07:45:46+00:00,6.63482348763,0.0069423078,0.0101365,0.00042,,,,,,,,,
e_heat_56,HeatSteelSheet,2023-04-03 07:45:52+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_65,SplitSteelSheet,2023-04-03 07:45:53+00:00,6.63169151238,0.006939093,0.0101318,0.00042,,,,,,,,,
e_heat_57,HeatSteelSheet,2023-04-03 07:45:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_66,SplitSteelSheet,2023-04-03 07:46:00+00:00,6.45857939017,0.006758175,0.0098673,0.00042,,,,,,,,,
e_heat_58,HeatSteelSheet,2023-04-03 07:46:06+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_67,SplitSteelSheet,2023-04-03 07:46:06+00:00,6.52393908699,0.0068264382,0.0099671,0.00042,,,,,,,,,
e_heat_59,HeatSteelheet,2023-04-03 07:46:09+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_68,SplitSteelSheet,2023-04-03 07:46:13+00:00,6.44506596183,0.0067440162,0.0098466,0.00042,,,,,,,,,
e_heat_60,HeatSteelSheet,2023-04-03 07:46:17+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_69,SplitSteelSheet,2023-04-03 07:46:19+00:00,6.7480551469,0.0070606398,0.0103095,0.00042,,,,,,,,,
e_heat_61,HeatSteelSheet,2023-04-03 07:46:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_70,SplitSteelSheet,2023-04-03 07:46:26+00:00,7.12607055451,0.0074557182,0.0108871,0.00042,,,,,,,,,
e_heat_62,HeatSteelSheet,2023-04-03 07:46:31+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_71,SplitSteelSheet,2023-04-03 07:46:33+00:00,6.7785309433,0.0070925142,0.0103561,0.00042,,,,,,,,,
e_heat_63,HeatSteelSheet,2023-04-03 07:46:38+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_72,SplitSteelSheet,2023-04-03 07:46:39+00:00,6.32886381755,0.0066226062,0.0096691,0.00042,,,,,,,,,
e_heat_64,HeatSteelSheet,2023-04-03 07:46:45+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_73,SplitSteelSheet,2023-04-03 07:46:46+00:00,6.58474852225,0.0068899818,0.01006,0.00042,,,,,,,,,
e_split_74,SplitSteelSheet,2023-04-03 07:46:53+00:00,6.62669924813,0.0069338262,0.0101241,0.00042,,,,,,,,,
e_heat_65,HeatSteelSeet,2023-04-03 07:46:54+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_heat_66,HeatSteelSheet,2023-04-03 07:46:56+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_75,SplitSteelSheet,2023-04-03 07:47:00+00:00,6.51635859743,0.0068185038,0.0099555,0.00042,,,,,,,,,
e_heat_67,HeatSteelSheet,2023-04-03 07:47:05+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_76,SplitSteelSheet,2023-04-03 07:47:07+00:00,6.55958916557,0.0068637162,0.0100216,0.00042,,,,,,,,,
e_heat_68,HeatSteelSheet,2023-04-03 07:47:12+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_77,SplitSteelSheet,2023-04-03 07:47:13+00:00,6.51122442366,0.0068131686,0.0099477,0.00042,,,,,,,,,
e_heat_69,HeatSteelSheet,2023-04-03 07:47:18+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_78,SplitSteelSheet,2023-04-03 07:47:20+00:00,6.77843915549,0.0070923774,0.0103559,0.00042,,,,,,,,,
e_heat_70,HeatSteelSheet,2023-04-03 07:47:25+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_79,SplitSteelSheet,2023-04-03 07:47:27+00:00,6.52767919694,0.006830337,0.0099728,0.00042,,,,,,,,,
e_heat_71,HeatSteelSheet,2023-04-03 07:47:28+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_80,SplitSteelSheet,2023-04-03 07:47:33+00:00,6.46672915098,0.0067666566,0.0098797,0.00042,,,,,,,,,
e_heat_72,HeatSteelSheet,2023-04-03 07:47:38+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_81,SplitSteelSheet,2023-04-03 07:47:40+00:00,6.42517296924,0.0067232226,0.0098162,0.00042,,,,,,,,,
e_heat_73,HeatSteelSheet,2023-04-03 07:47:41+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_82,SplitSteelSheet,2023-04-03 07:47:47+00:00,6.46100546589,0.0067607058,0.009871,0.00042,,,,,,,,,
e_heat_74,HeatSteelSheet,2023-04-03 07:47:50+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_83,SplitSteelSheet,2023-04-03 07:47:54+00:00,6.85478053335,0.0071722002,0.0104726,0.00042,,,,,,,,,
e_heat_75,HeatSteelSheet,2023-04-03 07:47:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_84,SplitSteelSheet,2023-04-03 07:48:00+00:00,6.55226352186,0.0068560554,0.0100104,0.00042,,,,,,,,,
e_heat_76,HeatSteelSheet,2023-04-03 07:48:04+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_85,SplitSteelSheet,2023-04-03 07:48:07+00:00,6.54574917558,0.0068492838,0.0100005,0.00042,,,,,,,,,
e_heat_77,HeatSteelSeet,2023-04-03 07:48:09+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_86,SplitSteelSheet,2023-04-03 07:48:13+00:00,6.8163168379,0.007131981,0.0104138,0.00042,,,,,,,,,
e_heat_78,HeatSteelSheet,2023-04-03 07:48:18+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_87,SplitSteelSheet,2023-04-03 07:48:20+00:00,6.99046175643,0.0073139934,0.0106799,0.00042,,,,,,,,,
e_heat_79,HeatSteelSheet,2023-04-03 07:48:23+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_88,SplitSteelSheet,2023-04-03 07:48:27+00:00,6.83835068967,0.0071550318,0.0104475,0.00042,,,,,,,,,
e_split_89,SplitSteelSheet,2023-04-03 07:48:33+00:00,6.567140357,0.0068715822,0.0100331,0.00042,,,,,,,,,
e_heat_80,HeatSteelShet,2023-04-03 07:48:34+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_heat_81,HeatSteelSheet,2023-04-03 07:48:37+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_90,SplitSteelSheet,2023-04-03 07:48:40+00:00,6.41333661236,0.0067109106,0.0097982,0.00042,,,,,,,,,
e_heat_82,HeatSteelSheet,2023-04-03 07:48:41+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_91,SplitSteelSheet,2023-04-03 07:48:47+00:00,6.7673740855,0.0070808178,0.010339,0.00042,,,,,,,,,
e_heat_83,HeatSteelSheet,2023-04-03 07:48:49+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_92,SplitSteelSheet,2023-04-03 07:48:53+00:00,6.32981169736,0.0066235638,0.0096705,0.00042,,,,,,,,,
e_heat_84,HeatSteelShet,2023-04-03 07:48:57+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_93,SplitSteelSheet,2023-04-03 07:49:00+00:00,6.52474323237,0.0068273274,0.0099684,0.00042,,,,,,,,,
e_heat_85,HeatSteelSheet,2023-04-03 07:49:06+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_94,SplitSteelSheet,2023-04-03 07:49:07+00:00,6.4292067121,0.0067274634,0.0098224,0.00042,,,,,,,,,
e_heat_86,HeatSteelSheet,2023-04-03 07:49:12+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_95,SplitSteelSheet,2023-04-03 07:49:13+00:00,6.64956778656,0.0069577662,0.0101591,0.00042,,,,,,,,,
e_heat_87,HeatSteelSheet,2023-04-03 07:49:19+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_96,SplitSteelSheet,2023-04-03 07:49:20+00:00,6.49073978534,0.0067917594,0.0099164,0.00042,,,,,,,,,
e_heat_88,HeatSteelSheet,2023-04-03 07:49:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_97,SplitSteelSheet,2023-04-03 07:49:27+00:00,6.71058942358,0.007021515,0.0102523,0.00042,,,,,,,,,
e_heat_89,HeatSteelSheet,2023-04-03 07:49:32+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_98,SplitSteelSheet,2023-04-03 07:49:33+00:00,6.46512034784,0.006765015,0.0098773,0.00042,,,,,,,,,
e_heat_90,HeatSteelSheet,2023-04-03 07:49:36+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_99,SplitSteelSheet,2023-04-03 07:49:40+00:00,6.62697457948,0.0069340998,0.0101245,0.00042,,,,,,,,,
e_heat_91,HeatSteelSheet,2023-04-03 07:49:43+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_100,SplitSteelSheet,2023-04-03 07:49:46+00:00,6.50636772031,0.006808107,0.0099403,0.00042,,,,,,,,,
e_heat_92,HeatSteelSheet,2023-04-03 07:49:51+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_101,SplitSteelSheet,2023-04-03 07:49:53+00:00,6.83490916947,0.0071514066,0.0104422,0.00042,,,,,,,,,
e_heat_93,HeatSteelSheet,2023-04-03 07:49:58+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_102,SplitSteelSheet,2023-04-03 07:50:00+00:00,6.72454293081,0.0070360842,0.0102736,0.00042,,,,,,,,,
e_heat_94,HeatSteelSheet,2023-04-03 07:50:07+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_103,SplitSteelSheet,2023-04-03 07:50:07+00:00,6.73937492985,0.007051611,0.0102963,0.00042,,,,,,,,,
e_heat_95,HeatSteelShet,2023-04-03 07:50:11+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_104,SplitSteelSheet,2023-04-03 07:50:13+00:00,6.5140698805,0.0068161782,0.0099521,0.00042,,,,,,,,,
e_heat_96,HeatSteelSheet,2023-04-03 07:50:16+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
e_split_105,SplitSteelSheet,2023-04-03 07:50:20+00:00,6.85547225749,0.0071728842,0.0104736,0.00042,,,,,,,,,
e_heat_97,HeatSteelSheet,2023-04-03 07:50:22+00:00,900.0,0.0138019093344,0.02,,0.49392,0.49392,,,,,,,
