ocel:oid,ocel:type,m_metadata,p_mass[kg],p_material[EN10130:2006],s_co2e[kg],i_steel-waste[kg],P_electric-from-grid-de[kWh],P_gas-from-grid-de[m3],p_init-len[cm],p_width[cm],i_material-cold-rolled-steel[kg],i_steel-waste-to-recycle[kg],i_material-steel-pin[kg],P_compressed-air[m3]
o_femalepart_271,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_251,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_233,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_221,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_393,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_307,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_358,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_267,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_289,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_204,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_348,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_219,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_359,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_383,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_237,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_381,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_386,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_217,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_316,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_235,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_230,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_226,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_310,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_239,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_231,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_384,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_401,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_341,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_245,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_335,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_264,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_228,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_263,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_254,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_286,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_360,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_308,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_318,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_398,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_311,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_369,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_208,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_238,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_372,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_333,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_297,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_368,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_342,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_338,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_215,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_295,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_346,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_223,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_332,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_203,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_298,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_287,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_321,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_260,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_306,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_329,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_325,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_397,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_343,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_387,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_320,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_207,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_327,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_396,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_252,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_309,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_242,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_262,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_317,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_315,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_216,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_380,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_399,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_248,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_370,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_218,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_331,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_371,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_270,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_266,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_349,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_214,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_313,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_225,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_234,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_323,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_277,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_232,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_275,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_365,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_356,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_324,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_391,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_334,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_602,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_517,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_536,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_421,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_579,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_504,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_487,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_534,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_454,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_599,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_506,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_430,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_547,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_590,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_499,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_528,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_592,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_594,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_480,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_439,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_596,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_443,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_588,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_553,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_523,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_557,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_449,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_448,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_549,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_589,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_558,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_481,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_511,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_434,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_538,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_466,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_456,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_515,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_532,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_582,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_423,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_492,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_566,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_472,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_497,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_573,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_601,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_485,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_408,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_583,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_544,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_420,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_513,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_431,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_576,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_419,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_457,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_461,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_451,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_464,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_413,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_404,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_567,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_529,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_548,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_500,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_402,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_463,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_484,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_581,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_424,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_468,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_587,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_429,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_437,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_597,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_537,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_471,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_604,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_600,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_565,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_415,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_570,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_571,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_502,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_577,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_530,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_543,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_425,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_479,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_580,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_494,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_482,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_552,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_450,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_520,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_414,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_467,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_561,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_442,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_438,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_648,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_751,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_741,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_660,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_603,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_778,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_794,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_686,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_621,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_682,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_723,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_615,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_670,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_766,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_634,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_705,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_646,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_777,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_738,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_724,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_668,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_694,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_764,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_610,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_788,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_684,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_789,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_629,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_667,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_779,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_630,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_689,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_755,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_699,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_786,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_775,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_722,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_747,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_799,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_707,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_612,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_773,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_783,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_663,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_749,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_672,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_638,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_730,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_631,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_641,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_750,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_650,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_643,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_623,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_713,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_753,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_736,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_757,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_746,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_715,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_754,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_702,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_669,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_618,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_759,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_798,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_714,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_782,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_673,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_711,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_688,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_664,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_737,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_729,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_613,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_792,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_666,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_620,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_767,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_695,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_762,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_692,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_784,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_685,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_742,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_797,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_801,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_633,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_622,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_628,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_706,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_721,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_671,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_743,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_627,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_717,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_656,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_748,FemalePart,,?,DC01,?,?,,,,,,,,
o_femalepart_635,FemalePart,,?,DC01,?,?,,,,,,,,
